[7.508504586249638e-2,0.9249149541375037]
[0.17372907559520215,0.8262709244047979]
[0.10294751132007446,0.8970524886799256]
[0.1516349733607875,0.8483650266392125]
[2.1666846918637128e-2,0.9783331530813628]
[0.10363807866977112,0.8963619213302289]
[0.16207064082462866,0.8379293591753713]
[0.7796452493690658,0.22035475063093418]
[0.8793968376747952,0.12060316232520485]
[0.8222893825536556,0.17771061744634445]
[0.8829107592283103,0.11708924077168957]
[0.9760652418968306,2.393475810316924e-2]
[0.9281536102988857,7.184638970111434e-2]
[0.8122444270919497,0.18775557290805042]
[0.8390484924837055,0.16095150751629442]
[7.518159903204394e-2,0.9248184009679561]
[0.17474373871028265,0.8252562612897173]
[0.10404444829774596,0.8959555517022542]
[0.15236395237428602,0.847636047625714]
[2.126495487782852e-2,0.9787350451221715]
[0.10273566368388762,0.8972643363161124]
[0.16119570947810613,0.8388042905218939]
[0.7814331481541076,0.21856685184589233]
[0.8806500405318018,0.11934995946819826]
[0.8233200312659635,0.1766799687340364]
[0.8831137181068054,0.11688628189319461]
[0.9758559121986038,2.414408780139615e-2]
[0.9272028594580454,7.279714054195463e-2]
[0.8109192102293439,0.18908078977065615]
[0.8382385267050166,0.16176147329498336]
